Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.504619,0.0302867,-0.350129,0.0500064,-0.248168,-0.0304378,0.255673
0.250352,-0.0355013,-0.219052,-0.037035,-0.152023,-0.00169457,0.0843789
0.0495862,-0.00881026,-0.0688865,0.0208693,-0.0439291,-0.0359732,-0.0184557
-0.00382609,-0.0292905,-0.0327002,-0.0161273,-0.0220899,-0.0180733,-0.044154
-0.0180133,0.0392362,-0.00345951,0.0747995,-0.00285413,-0.0469699,-0.040221
-0.0453955,-0.00664586,0.0270457,-0.00266237,0.0165239,-0.011843,-0.043435
0.00122854,-0.0128289,-0.00787311,-0.0251535,-0.0116699,0.000651051,-0.0149826
0.0518772,0.0296107,-0.0320048,0.0611101,-0.0282036,-0.0563874,0.0106374
0.144881,-0.035929,-0.125516,-0.0332017,-0.0921496,-0.0240601,0.0459567
0.0732907,-0.00981536,-0.0564394,0.0259189,-0.0389248,-0.0563212,0.0010355
0.0623694,-0.0340117,-0.0654902,-0.020974,-0.045412,-0.0328694,-0.00635869
0.0526348,0.038183,-0.0445725,0.0753223,-0.0280661,-0.061055,-0.0118576
0.0207224,-0.00494497,-0.017819,-0.00320607,-0.00821466,-0.0250132,-0.0228139
0.0375022,-0.00695914,-0.0372191,-0.0262782,-0.0244365,-0.0130177,-0.00929685
0.0656049,0.0357145,-0.0413246,0.056114,-0.0263165,-0.0693413,0.00186907
0.128232,-0.0282399,-0.115924,-0.0373403,-0.0761228,-0.0372158,0.0309215
0.0485677,-0.00502365,-0.028365,0.021896,-0.0110391,-0.0671438,-0.0201239
0.0307554,-0.0276625,-0.0340848,-0.0228454,-0.016841,-0.0452888,-0.0194065
0.0280959,0.0407638,-0.01374,0.0714883,-0.000904779,-0.0715539,-0.0196849
0.000146553,-0.00225838,0.00972507,-0.0081567,0.0159963,-0.0358821,-0.0246765
0.0215465,-0.0037632,-0.0174767,-0.0337633,-0.00677501,-0.0242165,-0.00468961
0.0578742,0.0393396,-0.024769,0.0475631,-0.0109599,-0.0808811,0.00603875
0.122634,-0.0237534,-0.109322,-0.0458507,-0.0661136,-0.0479816,0.0396834
0.0541374,-0.00178488,-0.0224825,0.0152676,-0.000814876,-0.0757302,-0.0156999
0.0338438,-0.0235377,-0.0331431,-0.0301169,-0.0095638,-0.0530711,-0.0124434
0.0312604,0.0442653,-0.0106527,0.0648873,0.00835057,-0.0778105,-0.0168845
0.00166759,0.00292609,0.0126501,-0.014992,0.0252957,-0.0425286,-0.0220012
0.0167665,0.00312347,-0.0134652,-0.0418626,0.0022165,-0.0319071,-0.0023402
0.0533697,0.0457833,-0.0173049,0.0373933,-0.000160366,-0.0889316,0.00490028
